name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
The Brass Rail,New York,,,,,,,,N/A,No website,Give The Brass Rail a modern online presence that matches its classic New York charm and expertise.,osm
Whiskey Tavern,New York,NY,79 Baxter Street,10013,+1 212 374 9119,,,,N/A,No website,Raise a glass to modernizing your Whiskey Tavern website and bringing in the next round of customers.,osm
Canteen,Brooklyn,NY,643 Dean Street,11238,,,,,N/A,No website,"Give your Brooklyn canteen a digital refresh, we'll bring your brand to life.",osm
Mocha Hookah,New York,,,,,,,,N/A,No website,Elevate Mocha Hookah's online presence with a modern website that showcases your unique experience.,osm
Craft + Carry,New York,,,,,,,,N/A,No website,"Reinvigorate Craft + Carry's online presence with a modern, mobile-friendly website for seamless customer experiences.",osm
Lenox Coffee,New York,,,,,,,,N/A,No website,Give Lenox Coffee a digital facelift to energize online sales and brew a better mobile experience.,osm
Battle Hill Tavern,New York,,,,+1-347-987-3055,,,,N/A,No website,Give Battle Hill Tavern a refreshed online presence to reel in more customers in New York.,osm
Washington Commons,Brooklyn,NY,748 Washington Avenue,11238,+1-718-230-3666,,,,N/A,No website,We can transform your outdated website into a vibrant online presence that showcases Washington Commons' charm.,osm
Mugs Ale House,Brooklyn,NY,125 Bedford Avenue,,,,,,N/A,No website,"Let's refresh Mugs Ale House's website to match the warm, welcoming vibe of their Brooklyn pub.",osm
Cafe Delecctica,New York,,564 3rd Avenue,10016,,,,,N/A,No website,"Upgrade Cafe Delecctica's website to a modern, mobile-friendly design that showcases its unique New York charm.",osm
Café au bon gout,New York,,1 5th Avenue,10016,,,,,N/A,No website,"Reboot your online presence, Café au bon gout: we'll craft a vibrant website that delights New Yorkers.",osm
The Richardson,New York,,,,,,,,N/A,No website,Give The Richardson a digital overhaul to shine online and attract New York's finest guests.,osm
El Loco Burrito,New York,,345 Graham Avenue,11211,+1 718-388-8215,,,,N/A,No website,"Elevate El Loco's online presence with a modern, fast website that brings the flavor to New York diners.",osm
Tony's Pizza,New York,,,,+1-718-384-8669,,,,N/A,No website,"Transform Tony's Pizza website into a sizzling digital hotspot, reflecting New York's vibrant energy and serving up a seamless mobile experience.",osm
East Met West,New York,,752 Metropolitan Avenue,11211,+1 718-218-7777,,,,N/A,No website,"Boost East Met West's online presence with a modern, mobile-friendly redesign to engage audiences worldwide effectively.",osm
Sarah James,Brooklyn,NY,217 Pulaski Street,,,,,,N/A,No website,Upgrade your Brooklyn brand: we'll breathe new life into your outdated website and boost mobile performance.,osm
Carbone,New York,NY,331 West 38th Street,,,,,,N/A,No website,Reboot your website and bring Carbone's over-the-top style to a new generation of hungry customers and tech-savvy fans.,osm
Cooper's Tavern,New York,,,,,,,,N/A,No website,"Give Cooper's Tavern a web revamp, elevating the online experience to match its lively New York spirit.",osm
City Market Cafe,New York,,,,,,,,N/A,No website,Elevate the City Market Cafe experience with a modern website and seamless mobile access.,osm
9th St Espresso,New York,,700 East 9th Street,10009,,,,,N/A,No website,"Reinvigorate 9th St Espresso's online presence with a modern, mobile-friendly website that reflects its New York charm.",osm
Brooklyn Ice House,New York,,318 Van Brunt Street,11231,+1-718-222-1865,,,,N/A,No website,Give the people of Brooklyn a cooler online experience that keeps up with their favorite hangout.,osm
Gloria's,New York,,Nostrand Avenue,,,,,,N/A,No website,"Give your customers a seamless online experience with a modern, fast, and mobile-friendly website that showcases Gloria's New York charm.",osm
Red Hook Ball Field Food Trucks,New York,,Bay Street,,,,,,N/A,No website,Give Red Hook Ball Field a fresh online presence and mobile-friendly site to drive hungry customers.,osm
Legal Grounds,New York,,,,,,,,N/A,No website,"Upgrade your online presence and reach clients nationwide with a modern, fast, and mobile-friendly website for Legal Grounds.",osm
Fuji East Restaurant,New York,,,,,,,,N/A,No website,"Give Fuji East's New York presence a digital boost with a modern, fast, and mobile-friendly website redesign.",osm
Standings,New York,NY,43 East 7th Street,10003,+1-212-420-0671,,,,N/A,No website,"Revitalize your New York business with a modern, lightning-fast website that converts and delights mobile users.",osm
Burp Castle,New York,NY,41 East 7th Street,10003,,,,,N/A,No website,"Give Burp Castle a bold new online presence, where style meets speed and accessibility.",osm
Ristorante Settepani,New York,,,,,,,,N/A,No website,"Elevate Ristorante Settepani's online presence with a modern website, prioritizing speed and seamless mobile user experience.",osm
Le Basket,New York,,683 Broadway,,,,,,N/A,No website,"Transform your customers' online experience with a modern, fast, and mobile-friendly website that showcases Le Basket's New York spirit.",osm
O'Hara's Pub,New York,,,,,,,,N/A,No website,Raise a glass to renewed business with a modern website that's faster than a pint of Guinness.,osm
