name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Darden's Auto Service,Houston,,10825 Craighead Drive,,,,,,N/A,No website,Boost your local reputation and attract new customers with a custom website for Darden's Auto Service.,osm
Lone Star Glass,Houston,,,,,,,,N/A,No website,"Transform your storefront, elevate your online presence, and shine a light on Lone Star Glass in Houston.",osm
AutoZone,Houston,,,,,,,,N/A,No website,"Rev up your online presence, AutoZone Houston: a responsive website for seamless car part shopping experiences.",osm
Brake Check,Houston,,,,,,,,N/A,No website,"Create a website to showcase Brake Check's services, location, and customer reviews in Houston.",osm
Advance Auto Parts,Houston,,,,,,,,N/A,No website,"Create a website that puts the power in customers' hands, making parts and services more accessible in Houston.",osm
Nick's Auto Service,Houston,,,,,,,,N/A,No website,Get online with a website that showcases Nick's Auto Service expertise and builds customer trust in Houston.,osm
Firestone,Houston,,,,,,,,N/A,No website,"Give Firestone in Houston a competitive edge with a modern, responsive website that showcases their services.",osm
Spoilers Etc,Houston,,,,,,,,N/A,No website,Boost sales and showcase your vast collection with a dedicated website for Spoilers Etc in Houston.,osm
KTM Auto Repair,Houston,,,,,,,,N/A,No website,"Get online with KTM Auto Repair - boost visibility, attract new customers, and grow your business.",osm
Fournace Shell Auto Care Center,Bellaire,TX,5910 West Loop South,77401,,,,,N/A,No website,Establish an online presence with a website to showcase services and attract new customers to Fournace Shell Auto Care.,osm
Celaya Tire Shop,Houston,,,,,,,,N/A,No website,Get discovered by Houston drivers: we'll build Celaya Tire Shop a website that drives sales and builds trust.,osm
Jiffy Lube,Houston,TX,14450 Hillcroft Avenue,77085,,,,,N/A,No website,"Get your Houston drivers on the road faster with a Jiffy Lube website that's quick, easy, and reliable.",osm
Montalbano Tire & Auto Service,Houston,,,,,,,,N/A,No website,"Get found, get trusted: a website for Montalbano Tire & Auto Service, Houston's reliable auto service solution.",osm
U-Pick U-Pull Auto Parts,Pasadena,TX,2133 South Shaver Street,77502,+1-713-477-7670,,,,N/A,No website,Get the parts your customers need with our virtual inventory and pricing at U-Pick U-Pull.,osm
Fairbanks Tire Shop,Houston,,,,,,,,N/A,No website,"Help Fairbanks Tire Shop in Houston shine online with a user-friendly website, driving customer engagement and loyalty.",osm
Wildcat Fuels Ltd,Houston,,,,,,,,N/A,No website,"Create a strong online presence for Wildcat Fuels Ltd, showcasing expertise and building trust with Houston's fuel industry.",osm
Automotive Cooling& Repair,Houston,,,,,,,,N/A,No website,Keep Houston's engines running smoothly - let's build a website to showcase your cooling and repair services.,osm
El Celayense,Houston,TX,7011 Long Point Road,,,,,,N/A,No website,"Establish a strong online presence for El Celayense, showcasing authentic Mexican cuisine and culture to Houston's diverse food scene.",osm
Midtown Auto Service & Repair,Houston,TX,4510 Almeda Road,77004,,,,,N/A,No website,"Get your wheels turning online with a professional website for Midtown Auto Service & Repair in Houston, TX.",osm
Trust Auto Parts,Houston,TX,8229 Airline Drive,77037,+1 281 448 1212,,,,N/A,No website,"Establish a strong online presence for Trust Auto Parts with a modern, user-friendly website.",osm
Discount Tire,Houston,TX,10700 Westheimer Road,77042,+1-713-977-1292,,,,N/A,No website,Unlock Houston's biggest tire deals with a website that puts our discounts at customers' fingertips instantly.,osm
Discount Tire,Pasadena,TX,3747 South Shaver Street,77504,+1-713-944-4126,,,,N/A,No website,"Help Discount Tire in Pasadena, TX, boost local sales and visibility with a customized website.",osm
Alexander Auto Service,Houston,TX,800 East Tidwell Road,,,,,,N/A,No website,Get seen by thousands in Houston with a website that showcases Alexander Auto Service's expertise and reliability.,osm
Greatway Auto Clinic,Houston,TX,6203a Airline Drive,,,,,,N/A,No website,Greatway Auto Clinic needs a website to attract Houston customers and boost repair shop sales.,osm
N-Line Automotive,Houston,,3030 Ella Boulevard,,,,,,N/A,No website,"Help N-Line Automotive shine in Houston with a sleek, user-friendly website showcasing their services and expertise.",osm
Rent-A-Tire,Houston,TX,20E East Crosstimbers Street,,,,,,N/A,No website,"Get rolling with Rent-A-Tire: a user-friendly website to simplify tire rentals in Houston, TX.""

or 

""Rent-A-Tire's digital solution: streamlining tire rentals, one click at a time in Houston.""

or 

""Roll out a modern online presence: enhancing customer experience at",osm
Matin Auto Center,Houston,,,,,,,,N/A,No website,Get online and sell more cars: we'll build a website that drives results for Matin Auto Center.,osm
Woodway Service Center,Houston,,5139 Woodway Drive,,,,,,N/A,No website,Help Woodway Service Center in Houston grow by creating a user-friendly website that showcases their services.,osm
Collision King Auto,Houston,TX,5675 West Tidwell Road,,,,,,N/A,No website,"Get found online with a robust website showcasing Collision King Auto's services and expertise in Houston, Texas.",osm
ABS Tire Service,Houston,TX,7716 West Little York Road,,,,,,N/A,No website,"Establish a strong online presence for ABS Tire Service in Houston, TX, to reach more customers and grow the business.",osm
Memorial Car Care Center,Houston,,,,,,,,N/A,No website,Establish a strong online presence for Memorial Car Care Center through a user-friendly and information-rich website.,osm
AB Window Tint,Houston,,,,,,,,N/A,No website,"Transform your Houston sun-blasted rides with high-quality window tints, easily discovered and booked online.",osm
New Era Auto Repair,Houston,,,,+1-832-419-6947,,,,N/A,No website,Get your wheels on track with a website that drives new customers to New Era Auto Repair in Houston.,osm
OpenRoad Automotive,Houston,,400 West Crosstimbers Street,,,,,,N/A,No website,"Help OpenRoad Automotive in Houston take the wheel of online visibility with a modern, mobile-friendly website.",osm
GW Service,Houston,,8800 Madie Drive,,,,,,N/A,No website,Transform your business with a professional online presence and drive more customers to GW Service in Houston.,osm
Fulton Auto Repair,Houston,,,,,,,,N/A,No website,Fulton Auto Repair: Building trust and loyalty online with a modern website and streamlined customer experience.,osm
Antoine Tire Shop,Houston,,,,,,,,N/A,No website,Get found online and drive more customers to Antoine Tire Shop in Houston with a custom website.,osm
Sackett Auto Repair,Houston,,3717 Main Street,,,,,,N/A,No website,Elevate your reputation and customer base with a professional website showcasing Sackett Auto Repair's expert services.,osm
Pedro's Tire Shop,Houston,TX,1802 North Main Street,,+1-832-876-3728,,,,N/A,No website,Get found online and drive more customers to Pedro's Tire Shop with a professional website.,osm
Car Audio Zone,Houston,,,,,,,,N/A,No website,Get your business revving: We'll help Car Audio Zone accelerate its online presence with a website that drives sales.,osm
Firestone Complete Auto Care,Houston,,13714 East Freeway,77015,+1-713-401-3948,,,,N/A,No website,Rev up your online presence: create a website to drive Houston customers to Firestone Complete Auto Care.,osm
Caballero Tire Shop,Houston,,,,,,,,N/A,No website,"Create a website for Caballero Tire Shop to showcase services, increase visibility, and attract new customers in Houston.",osm
Garza & Sons Tire Shop,Houston,,,,,,,,N/A,No website,Build a website that showcases Garza & Sons Tire Shop's expertise and builds trust with Houston's diverse community.,osm
Express Auto Service,Houston,,,,,,,,N/A,No website,Get your wheels rolling with a professional website to showcase Express Auto Service's trusted Houston repairs.,osm
Hard Texas Tire & Wheel,Houston,,,,,,,,N/A,No website,Get back on the road with a website that drives business for Hard Texas Tire & Wheel.,osm
Advanced Muffler,Houston,,,,,,,,N/A,No website,Get found online and grow your Houston business with a professional website from Advanced Muffler.,osm
Carolina's Tire Shop,Houston,,505 East Parker Road,,,,,,N/A,No website,"Get rolling with a professional website, showcasing Carolina's Tire Shop's services and expertise in Houston, Texas.",osm
Antoine Auto Care,Houston,,5009 Antoine Drive,,,,,,N/A,No website,"Establish a strong online presence for Antoine Auto Care, connecting with Houston's diverse community of car owners.",osm
O’Reillys,Houston,,,,,,,,N/A,No website,Help O'Reilly's in Houston establish a robust online presence to boost sales and expand their customer base.,osm
E1 Garage,Houston,,2510 Yale Street,,,,,,N/A,No website,Elevate your Houston presence with a modern website that showcases E1 Garage's exceptional services and expertise.,osm
MAACO,Houston,,,,,,,,N/A,No website,"Help MAACO Houston dominate the local market with a modern, easy-to-use website presence.",osm
Mobil Service,Houston,TX,1622 West 18th Street,77008,,,,,N/A,No website,Get found in Houston: create a mobile-friendly website to showcase your Mobil Service and attract new customers.,osm
Take 5 Oil Change,Houston,,,,,,,,N/A,No website,Get ahead of the competition with a modern website that showcases Take 5 Oil Change's convenient services to Houston drivers.,osm
Velo Autosports,Houston,,,,,,,,N/A,No website,Transform Velo Autosports' brand and reach new customers with a professional and engaging website designed specifically for car enthusiasts.,osm
Texan Auto,Houston,,10011 S Texas 6,77498,,,,,N/A,No website,Let's get Texan Auto online and rev up sales with a custom website that showcases their Houston expertise.,osm
Alpha Auto Center,Houston,TX,6703 Bissonnet Street,77074-6129,,,,,N/A,No website,"Revs up online presence for Alpha Auto Center, bringing transparency and trust to Houston's car repair scene.",osm
Motorcars Ltd - Central,Houston,,8101 Hempstead Road,,,,,,N/A,No website,"Get online with a website showcasing Motorcars Ltd's inventory, services, and unique selling points to Houston car buyers.",osm
Auto Solutions,Houston,,,,,,,,N/A,No website,Drive more customers to your doorstep with a website that showcases Auto Solutions in Houston.,osm
Mcs Automotive,Houston,TX,6529 Cunningham Road,77041,+1-281-217-6306,,,,N/A,No website,"Elevate Mcs Automotive's online presence in Houston, TX with a professional website that drives results.",osm
