name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
The Grove Spot,Miami,,,,,,,,N/A,No website,Give The Grove Spot a digital facelift and bring their Miami charm online.,osm
GreenStreet,Miami,,,,,,,,N/A,No website,"Transform your outdated GreenStreet website into a lightning-fast, mobile-friendly haven for Miami's eco-conscious community.",osm
Barracuda,Miami,,,,,,,,N/A,No website,"Let's upgrade your outdated website and get you swimming with a fast, mobile-friendly online presence.",osm
Root Beer Palace,Miami,,,,,,,,N/A,No website,"Boost your Root Beer Palace brand with a fresh, fast, and mobile-friendly website that sips success.",osm
El Cartel Colombian Restaurant,Miami,FL,194 Southeast 1st Avenue,33131,+1-305-358-7800,,,,N/A,No website,"Give El Cartel a vibrant online presence that tantalizes taste buds and drives sales with a modern, mobile-friendly website.",osm
Wok Town,Miami,,,,,,,,N/A,No website,"Boost your Wok Town brand in Miami with a fresh, lightning-fast website that converts mobile users.",osm
New York Bagel Deli,Miami,,,,,,,,N/A,No website,Refresh your digital bagel shop: a modern website for New York Bagel Deli in Miami.,osm
Pollo Tropical,Miami,,,,,,,,N/A,No website,Reboot your online flock: a modern Pollo Tropical website boosts engagement and flocks customers to your Miami doors.,osm
Iron Sushi,Miami,FL,120 Southeast 3rd Avenue,33131-2004,+1-305-373-2000,,,,N/A,No website,"Reinvigorate Iron Sushi's online presence with a sleek, mobile-friendly website that showcases Miami's vibrant dining scene.",osm
Tre Italian Bistro,Miami,,,,,,,,N/A,No website,Revamp your online presence with a modern Tre Italian Bistro website that delights Miami customers on all devices.,osm
Camila's Restaurante Brasileiro,Miami,,129 Southeast 1st Avenue,33131,+1 305-375-0992,,,,N/A,No website,"Reignite Camila's online presence with a fresh, mobile-friendly website that showcases Miami's vibrant Brazilian culture.",osm
Sushi Sake,Miami,,,,,,,,N/A,No website,"Elevate your Miami presence with a modern, fast, and mobile-friendly website that showcases Sushi Sake's beauty.",osm
Munchies at Brickell,Miami,,,,,,,,N/A,No website,"Transform Munchies' online presence with a modern, mobile-optimized website, boosting user engagement and driving sales in Miami's competitive market.",osm
Chick'n Grill,Miami,FL,250 Southwest 8th Street,33130,+1-786-621-4800,,,,N/A,No website,"Revamp the Chick'n Grill website to boost online presence, speed, and mobile usability in Miami's competitive market.",osm
Sky Bar,Miami,,,,,,,,N/A,No website,"Give Sky Bar in Miami a digital revamp, elevating the experience for thirsty travelers online.",osm
Bossa Nova Lounge,Miami,,,,,,,,N/A,No website,Bossa Nova Lounge deserves a vibrant online presence to match its Miami vibes and attract new customers.,osm
Cozy Corner,Miami,,,,,,,,N/A,No website,Give Cozy Corner in Miami a digital refresh to stay cozy with Miami's competitive hospitality scene.,osm
Miller's Ale House,Miami,,,,,,,,N/A,No website,"Give your customers a refreshing online experience with a modern, fast, and mobile-friendly Miller's Ale House website.",osm
Primo Cafe and Market,Miami,,3924 Collins Avenue,33140,+1 305-674-1886,,,,N/A,No website,"Give your Miami customers a seamless online experience and boost sales with a modern, mobile-friendly Primo Cafe website.",osm
3 Chefs Chinese & Vietnamese Food,Miami,,1800 Biscayne Boulevard,33132,,,,,N/A,No website,"Revamp your outdated website to serve up a faster, fresher online experience for Miami foodies.",osm
La Provence French Bakery,Miami,,,,,,,,N/A,No website,"Revitalize La Provence's online presence with a modern, mobile-friendly website that showcases your delicious French pastries.",osm
Sunny's Subs,Miami,,,,,,,,N/A,No website,"Give Sunny's Subs in Miami a fresh online presence that's faster, friendlier, and perfectly suited to mobile users.",osm
Subrageous,Miami,,,,,,,,N/A,No website,"Let's give Subrageous a fresh, lightning-fast website that shines on all devices, elevating your Miami brand.",osm
Taste of Philly,Miami,,3940 Curtiss Parkway,33166,+1-305-456-0481,,,,N/A,No website,Let's elevate Taste of Philly's online presence and bring the authentic Philly experience to Miami's food scene.,osm
China King,Miami,,,,,,,,N/A,No website,Revamp your outdated website and boost online presence to attract more Miami customers to China King.,osm
Bubba Gump Shrimp Company,Miami,,,,,,,,N/A,No website,Bubba's waiting for you - let's revitalize the website and reel in mobile-friendly greatness!,osm
La Bottega,Miami,,1800 North Bayshore Drive,33132,+1 305 603 1003,,,,N/A,No website,Reinvigorate La Bottega's online presence with a modern website and seamless mobile experience for Miami's fashion enthusiasts.,osm
The Cheesecake Factory,Miami,,,,,,,,N/A,No website,"Transform The Cheesecake Factory's Miami website into a delicious online experience, matching its legendary in-person appeal.",osm
Monty's,Miami,,2550 South Bayshore Drive,33133,,,,,N/A,No website,"Give Monty's in Miami a fresh online presence, we'll boost speed and make it shine on mobile too.",osm
Abraxas Lounge,Miami,,407 Meridian Avenue,33139,,,,,N/A,No website,Revamp Abraxas Lounge's website for a sleek online presence and seamless mobile experience that matches its Miami glamour.,osm
